#x y density u0 u1 u2 u3
2.2565958883839006 0.0 0.0 0.0 0.0 0.0 0.0
2.2613605480998515 0.0 0.0 0.0 0.0 0.0 0.0
2.2661809590410855 0.0 0.0 0.0 0.0 0.0 0.0
2.2710577735520108 0.0 0.0 0.0 0.0 0.0 0.0
2.275991651610108 0.0 0.0 0.0 0.0 0.0 0.0
2.280983260915248 0.0 0.0 0.0 0.0 0.0 0.0
2.2860332769800493 0.0 0.0 0.0 0.0 0.0 0.0
2.2911423832212945 0.0 0.0 0.0 0.0 0.0 0.0
2.2963112710524185 0.0 0.0 0.0 0.0 0.0 0.0
2.301540639977076 0.0 0.0 0.0 0.0 0.0 0.0
2.306831197683806 0.0 0.0 0.0 0.0 0.0 0.0
2.312183660141801 0.0 0.0 0.0 0.0 0.0 0.0
